QuestionID,QuestionText,Subject,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,irt_a,irt_c,irt_b,difficulty
AR001,قال الشاعر : إذا غامرت في شرف مروم ∴ فلا تقنع بما دون النجوم - المقصود ب شرف مروم هو,ARABIC,المال الوفير,الهدف السامي,النصر في المعركة,الجلوس مع الكبار,B,1.0,0.25,-0.5947071077466924,Medium
AR002,قال الشاعر : إذا غامرت في شرف مروم ∴ فلا تقنع بما دون النجوم - من خلال البيت السابق يدعو الشاعر إلي,ARABIC,القناعة بما لدينا,التواضع في طلب المجد,الطموح والسعي وراء المعالي,التمسك بالماضي,C,1.0,0.25,0.0,Medium
AR003,جلس الطفل يستمع إلى تغريد العصافير وقال : إنها تغني لنا - ما نوع التفكير الذي أظهره الطفل؟,ARABIC,خيالي,واقعي,علمي,منطقي,A,1.0,0.25,-0.5596157879354228,Medium
AR004,إذا كان الكتاب مثل الصديق فما العلاقة المشتركة بينهما؟,ARABIC,كلاهما ينسى بسرعة,كلاهما مصدر للمعرفة والمتعة,كلاهما يحتاج إلى مال كثير,كلاهما سبب للقلق,B,1.0,0.25,-0.8109302162163291,Medium
AR005,مرادف كلمة واضح هو,ARABIC,غائم,جلي,غامض,مموه,B,1.0,0.25,0.03174869831458027,Medium
AR006,ضد كلمة كبير هو,ARABIC,عظيم,صغير,ضخم,طويل,B,1.0,0.25,-4.304065093204168,Easy
AR007,جمع كلمة كتاب هو,ARABIC,كتب,كاتبون,كتاب,كتابون,A,1.0,0.25,-0.5596157879354228,Medium
AR008,ما نوع الخبر في: إن الله غفور رحيم,ARABIC,خبر مفرد,جملة اسمية,جملة فعلية,شبه جملة,A,1.0,0.25,-1.2527629684953683,Easy
AR009,نوع الأسلوب في: يا لجمال الطبيعة,ARABIC,تحذير,تحسر,نداء,نداء تعجبي,D,1.0,0.25,-2.0794415416798353,Easy
AR010,ما مرادف كلمة واضح,ARABIC,غائم,جلي,غامض,مموه,B,1.0,0.25,-0.6931471805599453,Medium
AR011,ضد كلمة شجاع هو,ARABIC,جريء,جبان,قوي,صامد,B,1.0,0.25,-2.1690537003695236,Easy
AR012,مرادف كلمة سريع هو,ARABIC,بطيء,متعجل,خامل,ثابت,B,1.0,0.25,-1.178654996341646,Easy
AR013,ما نوع الأسلوب في: إياك والكذب,ARABIC,نهي,أمر,تحذير,نداء,C,1.0,0.25,0.6931471805599453,Medium
AR014,ما إعراب كلمة مجتهد في: حضر الطالب مجتهد,ARABIC,حال,نعت,خبر,مفعول به,A,1.0,0.25,0.9808292530117262,Medium
AR015,نوع الخبر في: العلم نور,ARABIC,مفرد,جملة اسمية,جملة فعلية,شبه جملة,A,1.0,0.25,-4.304065093204168,Easy
AR016,جمع كلمة قلم هو,ARABIC,أقلام,قلمون,أقلمة,قلام,A,1.0,0.25,-2.3978952727983707,Easy
AR017,مرادف كلمة جميل هو,ARABIC,قبيح,حسن,رديء,كريه,B,1.0,0.25,-0.48550781578170094,Medium
AR018,ضد كلمة واسع هو,ARABIC,كبير,ممتد,ضيق,شاسع,C,1.0,0.25,-4.304065093204168,Easy
AR019,ما نوع التفكير في: تخيل الطفل نفسه طائرا,ARABIC,علمي,منطقي,خيالي,ناقد,C,1.0,0.25,-2.5257286443082547,Easy
AR020,ما نوع الأسلوب في: ما أجمل الصدق,ARABIC,تعجب,نداء,استفهام,نهي,A,1.0,0.25,-1.6094379124341003,Easy
AR021,ما نوع الخبر في: المؤمن صادق,ARABIC,مفرد,جملة اسمية,جملة فعلية,شبه جملة,A,1.0,0.25,-0.5947071077466924,Medium
AR022,ضد كلمة شحيح هو,ARABIC,بخيل,كريم,قليل,فقير,B,1.0,0.25,-0.9409833444645267,Medium
AR023,مرادف كلمة حكيم هو,ARABIC,جاهل,عاقل,متهور,ساذج,B,1.0,0.25,-4.304065093204168,Easy
AR024,ما نوع الأسلوب في: لا تهمل واجبك,ARABIC,نهي,أمر,تحذير,استفهام,A,1.0,0.25,-2.3272777055844176,Easy
AR025,إعراب كلمة طالب في: جاء الطالب مجتهدا,ARABIC,فاعل,مفعول به,خبر,حال,A,1.0,0.25,-1.6094379124341003,Easy
AR026,جمع كلمة مدينة هو,ARABIC,مدن,مدينون,مدائن,مدينة,A,1.0,0.25,-0.6931471805599453,Medium
AR027,مرادف كلمة شجاع هو,ARABIC,جبان,مقدام,ضعيف,خائف,B,1.0,0.25,-1.446918982936325,Easy
